control_id,control_name,table_name,column_name,dimension,severity,control_description,owner,regulatory_relevance
CTRL-001,Customer ID must not be null,stg_customers,customer_id,Completeness,High,Ensures every customer record has a unique customer identifier,Customer Data Owner,Required for customer/account traceability
CTRL-002,Customer name must not be null,stg_customers,customer_name,Completeness,Medium,Ensures customer records contain a populated customer name,Customer Data Owner,Supports customer reference data completeness
CTRL-003,Customer created date must not be null,stg_customers,created_date,Completeness,Medium,Ensures customer records include an onboarding or creation date,Customer Data Owner,Supports temporal lineage and onboarding controls
CTRL-004,Customer country must be valid,stg_customers,country,Validity,Medium,Ensures country values conform to accepted reference values,Customer Data Owner,Supports geographic segmentation and reporting accuracy
CTRL-005,Account ID must not be null,stg_accounts,account_id,Completeness,High,Ensures every account record has a unique account identifier,Account Data Owner,Required for account-level reporting traceability
CTRL-006,Every account must map to a valid customer,stg_accounts,customer_id,Integrity,High,Ensures each account can be tied back to a valid customer record,Account Data Owner,Required for referential integrity and lineage
CTRL-007,Account status must be valid,stg_accounts,account_status,Validity,Medium,Ensures account status values conform to accepted reference values,Account Data Owner,Supports portfolio classification and operational reporting
CTRL-008,Account open date must not be null,stg_accounts,open_date,Completeness,Medium,Ensures every account has an open date,Account Data Owner,Supports account lifecycle reporting
CTRL-009,Transaction ID must not be null,stg_transactions,transaction_id,Completeness,High,Ensures every transaction has a transaction identifier,Transaction Data Owner,Required for transaction-level auditability
CTRL-010,Every transaction must map to a valid account,stg_transactions,account_id,Integrity,High,Ensures every transaction can be tied back to a valid account,Transaction Data Owner,Required for account-to-transaction lineage
CTRL-011,Transaction amount should not be zero,stg_transactions,amount,Validity,Medium,Identifies transaction records with zero-dollar amounts,Transaction Data Owner,Supports transaction amount reasonability
CTRL-012,Transaction currency must be valid,stg_transactions,currency,Validity,Medium,Ensures transaction currency values conform to accepted reference values,Transaction Data Owner,Supports multi-currency reporting accuracy
CTRL-013,Transaction date must not be null,stg_transactions,transaction_date,Completeness,High,Ensures every transaction includes a transaction date,Transaction Data Owner,Required for period-based reporting
CTRL-014,Regulatory reported balance must not be null,stg_regulatory_balances,reported_balance,Completeness,High,Ensures regulatory balances are populated before reporting,Regulatory Reporting Owner,Required for regulatory report completeness
CTRL-015,Regulatory reported balance should not be negative,stg_regulatory_balances,reported_balance,Validity,High,Identifies negative reported balances requiring review,Regulatory Reporting Owner,Supports balance reasonability controls
CTRL-016,Report date must not be null,stg_regulatory_balances,report_date,Completeness,High,Ensures every regulatory balance record includes a report date,Regulatory Reporting Owner,Required for reporting period accuracy
CTRL-017,Report name must not be null,stg_regulatory_balances,report_name,Completeness,High,Ensures every regulatory balance record maps to a report name,Regulatory Reporting Owner,Required for regulatory report traceability
