customer_id,customer_name,customer_segment,country,created_date
CUST00001,"Rodriguez, Figueroa and Sanchez",Consumer,US,2025-02-27
CUST00002,Doyle Ltd,Commercial,US,2022-04-03
CUST00003,"Mcclain, Miller and Henderson",Small Business,US,2024-10-17
CUST00004,Davis and Sons,Consumer,GB,2023-05-15
CUST00005,"Guzman, Hoffman and Baldwin",Consumer,US,2021-07-11
CUST00006,,Small Business,US,2023-11-01
CUST00007,Blake and Sons,Consumer,GB,2022-02-12
CUST00008,"Henderson, Ramirez and Lewis",Enterprise,US,2023-07-09
CUST00009,Garcia-James,Commercial,US,2025-04-04
CUST00010,Abbott-Munoz,Small Business,CA,2022-11-28
CUST00011,Blair PLC,Commercial,US,2022-03-17
CUST00012,Dudley Group,Commercial,US,2021-07-09
CUST00013,Arnold Ltd,Enterprise,US,2023-01-06
CUST00014,"Mcclure, Ward and Lee",Commercial,GB,2022-06-26
CUST00015,Williams and Sons,Consumer,CA,2024-01-04
CUST00016,Galloway-Wyatt,Consumer,CA,2021-06-11
CUST00017,James Group,Commercial,GB,2025-12-19
CUST00018,"Flowers, Martin and Kelly",Commercial,GB,2022-01-29
CUST00019,"Adams, Zuniga and Wong",Consumer,US,2024-09-16
CUST00020,"Reid, Ferguson and Sanchez",Small Business,US,2021-06-13
CUST00021,Gray-Mayo,Small Business,US,2023-02-18
CUST00022,"Watts, Robinson and Nguyen",Commercial,CA,2024-07-25
CUST00023,Perez Inc,Commercial,US,2023-01-29
CUST00024,Morales-Jones,Commercial,US,2024-10-04
CUST00025,"Walter, Edwards and Rios",Commercial,US,2024-06-01
CUST00026,Wilkerson-Day,Small Business,GB,2025-02-02
CUST00027,Baker and Sons,Small Business,US,2023-08-05
CUST00028,"Hoffman, Baker and Richards",Enterprise,US,2024-08-03
CUST00029,"Ross, Robinson and Bright",Small Business,US,2025-09-23
CUST00030,"Snyder, Campos and Callahan",Consumer,US,2025-08-11
CUST00031,Burton Ltd,Consumer,US,2023-04-02
CUST00032,Carlson-Cruz,Commercial,US,2022-03-09
CUST00033,"Ferrell, Rice and Maddox",Commercial,US,2024-09-04
CUST00034,Frazier Inc,Enterprise,CA,2025-12-17
CUST00035,"Dyer, Potter and Mack",Enterprise,US,2022-06-27
CUST00036,Rodriguez-Graham,Small Business,US,2025-03-06
CUST00037,Smith-Bowen,Commercial,GB,2023-05-28
CUST00038,"Baker, Mason and White",Enterprise,US,2022-03-26
CUST00039,Harrell LLC,Small Business,GB,2023-10-08
CUST00040,"Romero, Gonzalez and Brooks",Consumer,US,2025-10-30
CUST00041,Ryan PLC,Consumer,US,2024-07-09
CUST00042,George Group,Small Business,CA,2024-05-06
CUST00043,Rodriguez LLC,Consumer,CA,2023-02-21
CUST00044,Allen-Allen,Enterprise,GB,2022-05-30
CUST00045,"Arroyo, Miller and Tucker",Consumer,US,2024-10-28
CUST00046,Spence PLC,Commercial,US,2021-08-17
CUST00047,Anderson Group,Commercial,CA,2021-11-20
CUST00048,"Martin, Rose and Obrien",Enterprise,US,2025-01-18
CUST00049,Hickman Ltd,Commercial,GB,2025-04-10
CUST00050,"Harris, Collins and Carney",Small Business,GB,2021-08-06
CUST00051,"Brooks, Lam and Hayes",Commercial,GB,2024-06-01
CUST00052,Walker LLC,Small Business,US,2023-02-05
CUST00053,Chapman and Sons,Small Business,GB,2025-05-14
CUST00054,"Robinson, Jones and Welch",Consumer,GB,2022-10-26
CUST00055,Jones Inc,Enterprise,US,2021-08-18
CUST00056,Jones-Young,Commercial,US,2022-05-06
CUST00057,"Washington, Ryan and Cummings",Consumer,US,2025-12-04
CUST00058,"Johnston, Sanchez and Kennedy",Consumer,US,2025-02-07
CUST00059,Lee-Davis,Enterprise,US,2025-04-07
CUST00060,Gomez-Jenkins,Small Business,US,2024-09-13
CUST00061,"Brown, Valdez and Lucas",Enterprise,GB,2021-12-05
CUST00062,Powell LLC,Commercial,GB,2025-11-22
CUST00063,Wright and Sons,Enterprise,US,2024-01-10
CUST00064,"West, Henderson and Ramirez",Small Business,US,2023-03-29
CUST00065,Baxter Inc,Commercial,CA,2023-11-26
CUST00066,Morton-Chase,Enterprise,US,2022-05-23
CUST00067,Williams PLC,Small Business,US,2022-11-24
CUST00068,Novak and Sons,Consumer,GB,2024-02-09
CUST00069,Russell Group,Small Business,GB,2022-03-28
CUST00070,Hancock Inc,Consumer,US,2024-12-20
CUST00071,Gray Group,Consumer,US,2021-05-19
CUST00072,House-Glover,Consumer,US,2021-05-26
CUST00073,Henderson-Bernard,Small Business,US,2024-10-02
CUST00074,"Stanley, Tucker and Lee",Enterprise,US,2024-01-10
CUST00075,Novak PLC,Small Business,GB,2024-03-26
CUST00076,"Daniels, Adkins and Brown",Enterprise,US,2025-05-26
CUST00077,"Woods, Calhoun and Schmidt",Enterprise,CA,2022-01-25
CUST00078,Yu Inc,Consumer,US,2024-09-11
CUST00079,Jones Inc,Enterprise,US,2023-05-18
CUST00080,"Hensley, Powell and David",Enterprise,CA,2025-11-05
CUST00081,"Sanchez, Wheeler and Harvey",Consumer,US,2021-05-05
CUST00082,Sandoval-Cunningham,Enterprise,US,2025-06-28
CUST00083,Donovan-Harris,Consumer,US,2022-01-28
CUST00084,"Edwards, Baker and Anderson",Small Business,GB,2023-07-08
CUST00085,"Evans, Stewart and Walton",Small Business,CA,2022-01-11
CUST00086,Smith PLC,Commercial,CA,2022-05-27
CUST00087,"Ferrell, Jones and Lewis",Consumer,CA,2025-07-13
CUST00088,Anderson-Bailey,Consumer,US,2024-08-28
CUST00089,Suarez LLC,Consumer,US,2025-03-24
CUST00090,Moore-Bass,Small Business,US,2023-04-13
CUST00091,"Turner, Riggs and Roman",Enterprise,CA,2022-03-14
CUST00092,"Smith, Montoya and Evans",Enterprise,US,2021-12-04
CUST00093,"Garcia, Humphrey and Baker",Enterprise,US,2023-03-11
CUST00094,Newton and Sons,Commercial,CA,2022-08-08
