run_timestamp,control_id,check_name,table_name,dimension,severity,failed_count,status,control_description,owner,regulatory_relevance
2026-06-08T22:25:00,CTRL-001,Customer ID must not be null,stg_customers,Completeness,High,0,PASS,Ensures every customer record has a unique customer identifier,Customer Data Owner,Required for customer/account traceability
2026-06-08T22:25:00,CTRL-002,Customer name must not be null,stg_customers,Completeness,Medium,1,FAIL,Ensures customer records contain a populated customer name,Customer Data Owner,Supports customer reference data completeness
2026-06-08T22:25:00,CTRL-003,Customer created date must not be null,stg_customers,Completeness,Medium,0,PASS,Ensures customer records include an onboarding or creation date,Customer Data Owner,Supports temporal lineage and onboarding controls
2026-06-08T22:25:00,CTRL-004,Customer country must be valid,stg_customers,Validity,Medium,51,FAIL,Ensures country values conform to accepted reference values,Customer Data Owner,Supports geographic segmentation and reporting accuracy
2026-06-08T22:25:00,CTRL-005,Account ID must not be null,stg_accounts,Completeness,High,0,PASS,Ensures every account record has a unique account identifier,Account Data Owner,Required for account-level reporting traceability
2026-06-08T22:25:00,CTRL-006,Every account must map to a valid customer,stg_accounts,Integrity,High,1,FAIL,Ensures each account can be tied back to a valid customer record,Account Data Owner,Required for referential integrity and lineage
2026-06-08T22:25:00,CTRL-007,Account status must be valid,stg_accounts,Validity,Medium,292,FAIL,Ensures account status values conform to accepted reference values,Account Data Owner,Supports portfolio classification and operational reporting
2026-06-08T22:25:00,CTRL-008,Account open date must not be null,stg_accounts,Completeness,Medium,0,PASS,Ensures every account has an open date,Account Data Owner,Supports account lifecycle reporting
2026-06-08T22:25:00,CTRL-009,Transaction ID must not be null,stg_transactions,Completeness,High,0,PASS,Ensures every transaction has a transaction identifier,Transaction Data Owner,Required for transaction-level auditability
2026-06-08T22:25:00,CTRL-010,Every transaction must map to a valid account,stg_transactions,Integrity,High,1,FAIL,Ensures every transaction can be tied back to a valid account,Transaction Data Owner,Required for account-to-transaction lineage
2026-06-08T22:25:00,CTRL-011,Transaction amount should not be zero,stg_transactions,Validity,Medium,0,PASS,Identifies transaction records with zero-dollar amounts,Transaction Data Owner,Supports transaction amount reasonability
2026-06-08T22:25:00,CTRL-012,Transaction currency must be valid,stg_transactions,Validity,Medium,0,PASS,Ensures transaction currency values conform to accepted reference values,Transaction Data Owner,Supports multi-currency reporting accuracy
2026-06-08T22:25:00,CTRL-013,Transaction date must not be null,stg_transactions,Completeness,High,0,PASS,Ensures every transaction includes a transaction date,Transaction Data Owner,Required for period-based reporting
2026-06-08T22:25:00,CTRL-014,Regulatory reported balance must not be null,stg_regulatory_balances,Completeness,High,1,FAIL,Ensures regulatory balances are populated before reporting,Regulatory Reporting Owner,Required for regulatory report completeness
2026-06-08T22:25:00,CTRL-015,Regulatory reported balance should not be negative,stg_regulatory_balances,Validity,High,0,PASS,Identifies negative reported balances requiring review,Regulatory Reporting Owner,Supports balance reasonability controls
2026-06-08T22:25:00,CTRL-016,Report date must not be null,stg_regulatory_balances,Completeness,High,0,PASS,Ensures every regulatory balance record includes a report date,Regulatory Reporting Owner,Required for reporting period accuracy
2026-06-08T22:25:00,CTRL-017,Report name must not be null,stg_regulatory_balances,Completeness,High,0,PASS,Ensures every regulatory balance record maps to a report name,Regulatory Reporting Owner,Required for regulatory report traceability
